;kostya_file;filename;size;accession;sample;subsample;treatment
0;EGAF00002339775/22156_8#16.cram;22156_8#16;1.7G;EGAN00001938950;MSM0.105;s3;Acetaldehyde (12 mM)
1;EGAF00002339256/22210_2#12.cram;22210_2#12;1.4G;EGAN00001437534;MSM0.68;s3;DMS (0,078 mM)
2;EGAF00002339954/22101_4#5.cram;22101_4#5;1.8G;EGAN00001938961;MSM0.101;s1;Cyclophosphamide (60 uM) + S9
3;EGAF00002339160/21898_6.cram;21898_6;33G;EGAN00001938938;MSM0.126;s2;4-ABP (300 uM) + S9
4;EGAF00002338479/23627_5#1.cram;23627_5#1;5.9G;EGAN00001939019;MSM0.131;s1;DMSO Control (0,1%) + S9
5;EGAF00002339179/22210_1#16.cram;22210_1#16;1.4G;EGAN00001938983;MSM0.83;s2;Cisplatin (12,5 uM)
6;EGAF00002339303/19226_5#6.cram;19226_5#6;3.6G;EGAN00001437452;MSM0.36;s1;Lead (II) acetate (75 uM)
7;EGAF00002339033/22217_2#4.cram;22217_2#4;1.6G;EGAN00001437454;MSM0.36;s3;Lead (II) acetate (75 uM)
8;EGAF00002339623/16818_1#1.cram;16818_1#1;7.3G;EGAN00001437333;MSM0.10;s2;Melphalan (1,5 uM)
9;EGAF00002339628/17750_8#12.cram;17750_8#12;3.0G;EGAN00001437332;MSM0.10;s1;Melphalan (1,5 uM)
10;EGAF00002338821/20025_6#3.cram;20025_6#3;5.7G;EGAN00001437503;MSM0.60;s1;o-Anisidine (0,85 mM)
11;EGAF00002338801/18928_6#8.cram;18928_6#8;3.7G;EGAN00001437426;MSM0.44;s2;PhIP (3 uM) + S9
12;EGAF00002338304/19793_5#7.cram;19793_5#7;5.4G;EGAN00001437468;MSM0.49;s2;AFB1 (0,25 uM) + S9
13;EGAF00002339766/22156_8#7.cram;22156_8#7;1.5G;EGAN00001938953;MSM0.122;s2;MX (7 uM) + S9
14;EGAF00002338210/19685_7#6.cram;19685_7#6;5.5G;EGAN00001437458;MSM0.32;s1;Ellipticine (0,125 uM)
15;EGAF00002338205/22746_5#13.cram;22746_5#13;2.3G;EGAN00001938993;MSM0.90;s4;PhIP (4 uM) + S9
16;EGAF00002338954/18962_5#4.cram;18962_5#4;4.4G;EGAN00001437414;MSM0.30;s6;Potassium chromate (7,5 uM)
17;EGAF00002338883/18962_3#8.cram;18962_3#8;4.8G;EGAN00001437431;MSM0.39;s2;Lead (II) nitrate (88 uM)
18;EGAF00002339616/16545_2#90.cram;16545_2#90;5.0G;EGAN00001437324;MSM0.1;s1;H2O Control (0,1%)
19;EGAF00002340291/22101_7#9.cram;22101_7#9;1.5G;EGAN00001938946;MSM0.108;s2;MNNG (0,75 uM)
20;EGAF00002339407/19227_3#7.cram;19227_3#7;3.4G;EGAN00001437453;MSM0.36;s2;Lead (II) acetate (75 uM)
21;EGAF00002339087/21850_3.cram;21850_3;34G;EGAN00001938881;MSM0.75;s2;Temozolomide (200 uM)
22;EGAF00002338798/18928_6#5.cram;18928_6#5;4.1G;EGAN00001437416;MSM0.43;s1;4-ABP (40 uM) + S9
23;EGAF00002339663/22100_1#1.cram;22100_1#1;1.4G;EGAN00001938973;MSM0.119;s1;DMSO Control (0,5%) + S9
24;EGAF00002338390/16521_5#93.cram;16521_5#93;4.2G;EGAN00001437328;MSM0.3;s2;AAI (1,25 uM)
25;EGAF00002339699/22152_2#1.cram;22152_2#1;1.2G;EGAN00001938973;MSM0.119;s1;DMSO Control (0,5%) + S9
26;EGAF00002339531/22217_8#15.cram;22217_8#15;1.5G;EGAN00001437541;MSM0.74;s3;DBAC (5 uM) + S9
27;EGAF00002340359/22746_4#6.cram;22746_4#6;2.5G;EGAN00001939010;MSM0.123;s2;Semustine (700 uM) + S9
28;EGAF00002339299/19221_8#11.cram;19221_8#11;3.0G;EGAN00001437445;MSM0.41;s2;Ellipticine (0,375 uM) + S9
29;EGAF00002340389/24709_4#1.cram;24709_4#1;6.1G;EGAN00001939038;MSM0.106;s2;Semustine (150 uM)
30;EGAF00002340110/22152_6#9.cram;22152_6#9;1.3G;EGAN00001938946;MSM0.108;s2;MNNG (0,75 uM)
31;EGAF00002338650/20024_1#3.cram;20024_1#3;5.7G;EGAN00001437495;MSM0.55;s1;Furan (100 mM) + S9
32;EGAF00002338163/22211_5#11.cram;22211_5#11;1.4G;EGAN00001437529;MSM0.64;s3;N-Nitrosopyrrolidine (50 mM)
33;EGAF00002339205/22217_4#13.cram;22217_4#13;1.5G;EGAN00001437526;MSM0.65;s4;MeIQX (300 uM)
34;EGAF00002339102/22217_2#14.cram;22217_2#14;1.5G;EGAN00001437538;MSM0.66;s3;Mechlorethamine (0,3 uM)
